Subject	Start date	Start time
Ⅱ歴代1-4 使徒4:23-5:11	6/20/2017	6:00 AM
Ⅱ歴代5-6 使徒5:12-42	6/21/2017	6:00 AM
Ⅱ歴代7-9 使徒6:1-15	6/22/2017	6:00 AM
Ⅱ歴代10-12 使徒7:1-22	6/23/2017	6:00 AM
Ⅱ歴代13-15 使徒7:23-43	6/24/2017	6:00 AM
Ⅱ歴代16-18 使徒7:44-60	6/25/2017	6:00 AM
Ⅱ歴代19-20 使徒8:1-25	6/26/2017	6:00 AM
Ⅱ歴代21-23 使徒8:26-9:9	6/27/2017	6:00 AM
Ⅱ歴代24-25 使徒9:10-30	6/28/2017	6:00 AM
Ⅱ歴代26-28 使徒9:31-10:8	6/29/2017	6:00 AM
Ⅱ歴代29-30 使徒10:9-33	6/30/2017	6:00 AM
Ⅱ歴代31-32 使徒10:34-48	7/1/2017	6:00 AM
Ⅱ歴代33-34 使徒11:1-30	7/2/2017	6:00 AM
Ⅱ歴代35-36 使徒12:1-25	7/3/2017	6:00 AM
エズラ1-3 使徒13:1-20	7/4/2017	6:00 AM
エズラ4-6 使徒13:21-41	7/5/2017	6:00 AM
エズラ7-8 使徒13:42-14:10	7/6/2017	6:00 AM
エズラ9-10 使徒14:11-15:5	7/7/2017	6:00 AM
ネヘミヤ1-2 使徒15:6-29	7/8/2017	6:00 AM
ネヘミヤ3-4 使徒15:30-16:10	7/9/2017	6:00 AM
ネヘミヤ5-6 使徒16:11-34	7/10/2017	6:00 AM
ネヘミヤ7-8 使徒16:35-17:15	7/11/2017	6:00 AM
ネヘミヤ9-11 使徒17:16-34	7/12/2017	6:00 AM
ネヘミヤ12-13 使徒18:1-23	7/13/2017	6:00 AM
エステル1-2 使徒18:24-19:20	7/14/2017	6:00 AM
エステル3-5 使徒19:21-41	7/15/2017	6:00 AM
エステル6-10 使徒20:1-17	7/16/2017	6:00 AM
ヨブ1-3 使徒20:18-38	7/17/2017	6:00 AM
ヨブ4-6 使徒21:1-26	7/18/2017	6:00 AM
ヨブ7-9 使徒21:27-22:10	7/19/2017	6:00 AM
ヨブ10-12 使徒22:11-30	7/20/2017	6:00 AM
ヨブ13-15 使徒23:1-15	7/21/2017	6:00 AM
ヨブ16-18 使徒23:16-24:9	7/22/2017	6:00 AM
ヨブ19-21 使徒24:10-27	7/23/2017	6:00 AM
ヨブ22-26 使徒25:1-22	7/24/2017	6:00 AM
ヨブ27-29 使徒25:23-26:11	7/25/2017	6:00 AM
ヨブ30-31 使徒26:12-32	7/26/2017	6:00 AM
ヨブ32-34 使徒27:1-26	7/27/2017	6:00 AM
ヨブ35-37 使徒27:27-28:10	7/28/2017	6:00 AM
ヨブ38-39 使徒28:11-31	7/29/2017	6:00 AM
ヨブ40-42 ローマ1:1-17	7/30/2017	6:00 AM
詩篇1-6 ローマ1:18-2:4	7/31/2017	6:00 AM
詩篇7-11 ローマ2:5-29	8/1/2017	6:00 AM
詩篇12-17 ローマ3:1-31	8/2/2017	6:00 AM
詩篇18-20 ローマ4:1-25	8/3/2017	6:00 AM
詩篇21-25 ローマ5:1-21	8/4/2017	6:00 AM
詩篇26-30 ローマ6:1-14	8/5/2017	6:00 AM
詩篇31-34 ローマ6:15-7:12	8/6/2017	6:00 AM
詩篇35-37 ローマ7:13-8:11	8/7/2017	6:00 AM
詩篇38-41 ローマ8:12-30	8/8/2017	6:00 AM
詩篇42-46 ローマ8:31-9:5	8/9/2017	6:00 AM
詩篇47-51 ローマ9:6-33	8/10/2017	6:00 AM
詩篇52-56 ローマ10:1-17	8/11/2017	6:00 AM
詩篇57-61 ローマ10:18-11:12	8/12/2017	6:00 AM
詩篇62-67 ローマ11:13-36	8/13/2017	6:00 AM
詩篇68-69 ローマ12:1-21	8/14/2017	6:00 AM
詩篇70-72 ローマ13:1-14	8/15/2017	6:00 AM
詩篇73-76 ローマ14:1-23	8/16/2017	6:00 AM
詩篇77-78 ローマ15:1-13	8/17/2017	6:00 AM
詩篇79-82 ローマ15:14-33	8/18/2017	6:00 AM
詩篇83-87 ローマ16:1-27	8/19/2017	6:00 AM
詩篇88-89 Ⅰコリント1:1-31	8/20/2017	6:00 AM
詩篇90-93 Ⅰコリント2:1-16	8/21/2017	6:00 AM
詩篇94-99 Ⅰコリント3:1-23	8/22/2017	6:00 AM
詩篇100-103 Ⅰコリント4:1-21	8/23/2017	6:00 AM
詩篇104-105 Ⅰコリント5:1-13	8/24/2017	6:00 AM
詩篇106-107 Ⅰコリント6:1-20	8/25/2017	6:00 AM
