bangou,setsu,kashi
285,2,"ちからたのみ　 知恵にまかせ
われと道を　　 えらびとらじ
ゆくてはただ　 主のまにまに
ゆだねまつり　 正しくゆかん"
285,3,"主よ、飲むべき　わがさかずき
えらびとりて　　さずけたまえ
よろこびをも　　かなしみをも
みたしたもう　　ままにぞ受けん"
285,4,"この世を主に、 ささげまつり
神の国と　     なすためには
せめもはじも　 死もほろびも
何かはあらん　 主にまかせて

　　　　　　　　　アーメン"
288,1,"たえなるみちしるべの　ひかりよ
家路もさだかならぬ　　やみ夜に
さびしく　さすらう身を
みちびき　ゆかせたまえ"
288,2,"ゆくすえとおく見るを　ねがわじ
主よ　わがよわき足を　まもりて
ひとあし　またひとあし
みちをば　しめしたまえ"
288,3,"あだなる世のさかえを　　よろこび
ほこりて　おのがみちを　あゆみつ
むなしく　過ぎにし日を
わが主よ　忘れたまえ"
288,4,"しるべとなりたまいし　ひかりよ
今より　なおも野路に　山路に
闇夜の　　あけゆくまで
みちびき　ゆかせたまえ"
288,5,"とこ世のあさにさむる　そのとき
しばしの別れをだに　　なげきし
あいする　もののえがお
みくにに　われをむかえん
　　　　　　　　　　　アーメン"
294,1,"みめぐみゆたけき　主の手にひかれて
この世の旅路を　　あゆむぞうれしき
たえなるみめぐみ　日に日にうけつつ
みあとをゆくこそ　こよなきさちなれ"
294,2,"さびしき野べにも　にぎわう里にも
主ともにいまして　われをぞみちびく
たえなるみめぐみ　日に日にうけつつ
みあとをゆくこそ　こよなきさちなれ"
294,3,"けわしき山路も　　おぐらき谷間も
主の手にすがりて　やすけく過ぎまし
たえなるみめぐみ　日に日にうけつつ
みあとをゆくこそ　こよなきさちなれ"
294,4,"世の旅はてなば　　死のかわなみをも
恐れず越えゆかん　みたすけたのみて
たえなるみめぐみ　日に日にうけつつ
みあとをゆくこそ　こよなきさちなれ
　　　　　　　　　　　　　
　　　　　　　　　　　（アーメン）"
312,1,"いつくしみ深き　　友なるイエスは
罪とが憂いを　　　とり去りたもう
こころの嘆きを　　包まず述べて
などかは下ろさぬ、負える重荷を"
312,2,"いつくしみ深き　友なるイエスは
われらの弱きを　知りて憐む
悩みかなしみに　沈めるときも
祈りにこたえて　慰めたまわん"
312,3,"いつくしみ深き　友なるイエスは
かわらぬ愛もて　導きたもう
世の友われらを　棄て去るときも
祈りにこたえて　労りたまわん
　　　　　　　　　　アーメン"
370,1,"めさめよ、わが霊　こころ励み
ちからの限りに　　いそぎ進め
いのちの冠は　　　わがためにぞ
天にゆく馳場に　　そなえらるる"
370,2,"ものみのひとびと　雲のごとく
むらがり囲みて　　われを眺む
脇目もふらずに　　走りすすめ
さかえを授くる　　主は呼びたもう"
370,3,"見よ、その栄えの　かがやけるを
並ぶべきものは　　またとあらじ
この世の君らの　　花のかざり
黄金のかむりも　　ひかりぞなき"
370,4,"みめぐみ豊けき　すくいぬしの
み声のまにまに　走るこの身
かちの日来らば　そのほまれは
わが主の力と　　歌いまつらん

　　　　　　　　　　アーメン"
380,1,"立てよ、いざ立て　主の兵(つわもの)
見ずや、御旗(みはた)の　ひるがえるを
すべての仇(あだ)を　滅ぼすまで
君は先立ち　行かせ給わん"
380,2,"立てよ、聞かずや　主の角笛
いざ戦いの　門出急がん
君が隊(て)につく　この身なれば
雲なすあだも　何か恐れん"
380,3,"立てよ、我が主の　力により
神の鎧(よろい)を　堅くまとい
御霊(みたま)の剣　打ちかざして
おのが持ち場に　　勇み進め"
380,4,"立てよ、戦(いくさ)は　やがて終わり
永久(とわ)の勝ち歌　高く歌い
尽きぬ生命(いのち)の　冠(かむり)を受け
栄えの君と　ともに治めん

　　　　　　　　　　　　　　　アーメン"
391,1,"ナルドの壺　　ならねど
ささげまつる　わが愛
みわざのため　主よ潔めて 
うけませ　　　うけませ"
391,2,"よわき民に　　ちからを
おぐらき世に　ひかりを
あたえて主の　たかき御旨(みむね)
なさばや　　　なさばや"
391,3,"怖ずるものに　平和を
なげくものに　のぞみを
わかちて主の　ふかき恵み
あらわさん　　あらわさん"
391,4,"この世のわざ　　おわりて
あまつ国に　　　かえらば
主よ、みまえに　仕えまつらん
ときわに　　　　ときわに

　　　　　　　　　アーメン"
499,1,"みたまよくだりて  昔のごとく
くすしきみわざを  現し給え
代々にいます 　　 御霊の神よ
今しもこの身に 　 満ちさせ給え"
499,2,"みたまよくだりて  恵みの雨に
乾ける心を　　　  潤し給え
代々にいます　　  御霊の神よ
今しもこの身に　  満ちさせ給え"
499,3,"みたまよくだりて  汚れを清め
尊き救いに 　　　 いらしめ給え
代々にいます 　　 御霊の神よ
今しもこの身に　　満ちさせ給え"
499,4,"みたまよくだりて  か弱き我を
清けき力に 　　　 富ましめ給え
代々にいます 　　 御霊の神よ
今しもこの身に　　満ちさせ給え　　　　　　　　　　　　　　　　　　　　　　　　　　アーメン"
501,1,"いのちのみことば　たえにくすし
見えざるみかみの　むねをしめし
つかえまつる　　　みちをおしう

いのちのみことば　たえなるかな
いのちのみことば　くすしきかな"
501,2,"主イエスのみことば　いとしたわし
あまねくひびきて　　世のちまたに
なやむ子らを　　　　あめにまねく

いのちのみことば　たえなるかな
いのちのみことば　くすしきかな"
501,3,"うれしきおとずれ　たえずきこえ
ゆるしとやわらぎ　たまうかみの
ふかきめぐみ　　　世にあらわる

いのちのみことば　たえなるかな
いのちのみことば　くすしきかな
　　　　　　　　　　　アーメン"
502,1,"いともかしこし　イエスの恵み、
つみに死にたる　身をも活かす
主よりたまわる　あめの糧に
飢えしこころも　飽き足らいぬ
世にあるかぎり　きみのさかえと
いつくしみとを　かたりつたえん"
502,2,"すくいのめぐみ　告ぐるわれは
たのしみあふれ　うたとぞなる
ほろびをいでし　このよろこび
あまねくひとに　えさせまほし
世にあるかぎり　きみのさかえと
いつくしみとを　かたりつたえん"
502,3,"くすしきめぐみ　あまねく満ち
あるに甲斐なき　われをも召し
あまつ世嗣と　　なしたまえば
たれか洩るべき　主のすくいに
世にあるかぎり　きみのさかえと
いつくしみとを　かたりつたえん
　　　　　　　　　　　アーメン"
503,1,"はるのあした　　なつのまひる
あきのゆうべ　　ふゆのよも
いそしみまく　　みちのたねの
たりほとなる　　とききたらん
　かりいるるひはちかし　よろこびまてそのたりほ
　かりいるるひはちかし　よろこびまてそのたりほ"
503,2,"みそらかすむ　　のどけき日も
こがらしふく　　さむき夜も
いそしみまく　　みちのたねの
たりほとなる　　とききたらん
　かりいるるひはちかし　よろこびまてそのたりほ
　かりいるるひはちかし　よろこびまてそのたりほ　"
503,3,"うさつらさも　　身にいとわで
みちのために　　たねをまけ
ついにみのる　　そのたりほを
神はめでて　　　みそなわさん
　かりいるるひはちかし　よろこびまてそのたりほ
　かりいるるひはちかし　よろこびまてそのたりほ　
　　　　　　　　　　　　　　　　　　　アーメン"
505,1,"たえなる恵みや　みかどは開け
救いのひかりぞ　世に輝ける
たえなる恵みや　天めなる御門は
わがため　　　　ひらかれたり"
505,2,"いかなる人をも　望むがままに
喜びむかえて　　入らしめ給わん
たえなる恵みや　天めなる御門は
わがため　　　　ひらかれたり"
505,3,"むらがる仇をも　おそれで進め
恵みのみかどの　開けたるまに
たえなる恵みや　天めなる御門は
わがため　　　　ひらかれたり"
505,4,"凱歌うたいて　　みまえに立つ日
さかえの冠を　　主あたえ給わん
たえなる恵みや　天めなる御門は
わがため　　　　ひらかれたり
　　　　　　　　　　（アーメン）"
514,1,"弱き者よ 　　　我にすべて
まかせよやと 　主はのたもう
主によりて 　　贖(あがな)わる
我が身のさちは みな主にあり"
514,2,"岩のごとく 　　堅(かた)き心
砕くものは 　　御力(みちから)のみ
主によりて 　　贖(あがな)わる
我が身のさちは みな主にあり"
514,3,"我に何の 　　　いさおしあらん
ただ主の血に 　清くせらる
主によりて 　　贖(あがな)わる
我が身のさちは みな主にあり"
514,4,"死の床より 　　起くるその日
勇み歌わん 　　主のみいさお
主によりて 　　贖(あがな)わる
我が身のさちは みな主にあり

　　　　　　　　　　アーメン"
515,1,"「十字架の血に　きよめぬれば、
来よ」との御声を　われはきけり、
主よ、　われは　いまぞゆく、
十字架の血にて　きよめたまえ。"
515,2,"よわきわれも　　みちからをえ、
この身の汚れを　みな拭われん。
主よ、　われは　いまぞゆく、
十字架の血にて　きよめたまえ。"
515,3,"まごころもて　　せつにいのる、
心にみつるは　　主のみめぐみ。
主よ、われは　　いまぞゆく、
十字架の血にて　きよめたまえ。"
515,4,"ほむべきかな　　　わが主のあい、
ああほむべきかな　わが主のあい。
主よ、　われは　　いまぞゆく、
十字架の血にて　　きよめたまえ。

　　　　　　　　　　　　アーメン"
520,1,"しずけき河のきしべを 　
すぎゆくときにも
うきなやみの荒海を
わたりゆくおりにも
こころ安し、神によりて安し"
520,2,"むらがる仇(あだ)はたけりて
かこめどせむれど
いざなうものひしめきて
のぞみをくだくとも
こころ安し、神によりて安し"
520,3,"うれしや十字架のうえに
わがつみは死にき
すくいの道あゆむ身は
ますらおのごとくに
こころ安し、神によりて安し"
520,4,"おおぞらは巻き去られて
地はくずるるとき
つみの子らはさわぐとも
神による御民は
こころ安し、神によりて安し

　　　　　　　　　アーメン"
524,1,"イエス君、イエス君　みすくいに
われをももらさで　いれたまえ
主よ、主よ　　　ききたまえ
くだけし心の　　さけびをば"
